DATE,CPD_ID,SERIES_ID,SMILES,pKi,LogD (pH 7.40),Solubility (pH 7.40) (uM)
2001-07-31,CPD_0,Aminoquinoline,Nc1nccc2ccc(CN3CC[C@H](NS(=O)(=O)c4cc5ncccc5s4)C3=O)cc12,6.563837352959244,1.97,180.0
2001-07-31,CPD_1,Ketopiperazine,O=C1CN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CCN1Cc1nc(-c2ccccc2)cs1,5.767257937279263,6.49,9.7
2001-07-31,CPD_2,Ketopiperazine,CC(C)(C)c1csc(CN2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4s3)CC2=O)n1,6.119186407719208,6.421,22.0
2001-09-24,CPD_3,Indole,CC(C)N1CCC(NC(=O)c2cc3cc(F)cc(F)c3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,9.022878745280336,2.266,33.0
2001-10-17,CPD_4,Indole,CC(C)N1CCC(NC(=O)c2c(Br)c3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,8.610924374808176,2.455,81.0
2001-10-17,CPD_5,Indole,CC(C)N1CCC(NC(=O)c2c(Cl)c3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,8.610924374808176,2.269,86.0
2001-10-19,CPD_6,Azole12,Cc1nc(S)n(Cc2cc(-c3ccc(Cl)s3)on2)c1C(=O)NC1CCN(C(C)C)CC1,4.873186989958447,0.911,730.0
2001-10-23,CPD_7,Indole,N#Cc1c(C(=O)NC2CCN(c3ccncc3)CC2)n(Cc2cc(-c3ccc(Cl)s3)on2)c2ccccc12,7.92693598216088,0.952,170.0
2001-10-29,CPD_8,Indole,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cnc(-c3ccc(Cl)s3)s2)CC1,7.162877138637462,2.78,44.0
2001-10-29,CPD_9,Indole,CC(C)N1CCC(NC(=O)c2c(F)c3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,8.548455006504028,1.738,140.0
2001-10-29,CPD_10,Indole,Cc1cccc2c(C#N)c(C(=O)NC3CCN(C(C)C)CC3)n(Cc3cc(-c4ccc(Cl)s4)on3)c12,10.0,1.783,68.0
2001-11-02,CPD_11,Indole,Cc1c(C(=O)NC2CCN(C(C)C)CC2)n(Cc2cc(-c3ccc(Cl)s3)on2)c2nccnc12,5.341893164493606,1.474,1400.0
2001-11-02,CPD_12,Azole12,CCCc1c(C#N)c(C(=O)NC2CCN(C(C)C)CC2)nn1Cc1cc(-c2ccc(Cl)s2)on1,7.0841930723454505,1.356,110.0
2001-11-06,CPD_13,Azole12,CCCc1nn(Cc2cc(-c3ccc(Cl)s3)on2)c(C(=O)NC2CCN(C(C)C)CC2)c1C#N,7.387733468696957,1.176,170.0
2001-11-06,CPD_14,Azole12,CC(C)N1CCC(NC(=O)c2nn(Cc3cc(-c4ccc(Cl)s4)on3)c(-c3cccs3)c2C#N)CC1,7.414869142302521,1.309,22.0
2001-11-13,CPD_15,Azole12,CC(C)N1CCC(NC(=O)c2cncn2Cc2cc(-c3ccc(Cl)s3)on2)CC1,7.180505920328159,0.614,45000.0
2001-11-14,CPD_16,Indole,CC(C)CN1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,6.8493764556818935,3.104,48.0
2001-11-14,CPD_17,Indole,CCCN1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,7.197347476929444,2.84,77.0
2001-11-14,CPD_18,Indole,COC(=O)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,5.749092300299143,3.257,1.6
2001-11-14,CPD_19,Indole,CC(=O)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,6.117475462045118,3.157,3.8
2001-11-16,CPD_20,Azole12,CC(C)N1CCC(NC(=O)c2cc(-c3cccs3)nn2Cc2cc3ccc(Cl)cc3s2)CC1,7.887345359137068,3.634,84.0
2001-11-16,CPD_21,Azole12,CC(C)N1CCC(NC(=O)c2cc(-c3cccs3)nn2Cc2csc(-c3ccc(Cl)s3)n2)CC1,7.333175621742649,2.376,25.0
2001-11-21,CPD_22,Indole,NC(=O)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,5.968591535748375,1.914,8.7
2001-11-21,CPD_23,Indole,CS(=O)(=O)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,6.873476457144296,3.257,1.1
