category,CPD_A,CPD_B,R_A,R_B,core,pKi_A,pKi_B,delta_pKi,delta_LogD,delta_LogSol,potency_specificity,SMILES_A,SMILES_B
"Control: real substituent change, flat SAR",CPD_213,CPD_335,CC(OC(=O)OC1CCCCC1)OC(=O)[*:1],O=C(N(CCO)CCO)[*:1],CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,6.77,6.64,-0.13,-5.52,3.97,0.01844138973339636,CC(OC(=O)OC1CCCCC1)OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N(CCO)CCO)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1
"Control: real substituent change, flat SAR",CPD_337,CPD_346,CC(OC(=O)OC1CCCCC1)OC(=O)[*:1],CN(CCO)C(=O)[*:1],CC(C)N1CCC(NC(=O)c2nc3c([*:1])cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,7.51,7.58,0.07,-4.89,2.78,0.011914916151163916,CC(OC(=O)OC1CCCCC1)OC(=O)c1cccc2c1nc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)N(C)CCO)cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1
"Control: real substituent change, flat SAR",CPD_381,CPD_389,O=C(N1CC(O)C1)[*:1],CC(OC(=O)OC1CCCCC1)OC(=O)[*:1],CC(C)N1CCC(NC(=O)c2nc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,7.5,7.45,-0.06,5.48,-2.89,0.0093090206177061,CC(C)N1CCC(NC(=O)c2nc3cc(C(=O)N4CC(O)C4)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CC(OC(=O)OC1CCCCC1)OC(=O)c1ccc2c(c1)nc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1
"Control: real substituent change, flat SAR",CPD_213,CPD_342,CC(OC(=O)OC1CCCCC1)OC(=O)[*:1],CN(CCO)C(=O)[*:1],CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,6.77,6.73,-0.04,-4.88,3.86,0.006180414770452034,CC(OC(=O)OC1CCCCC1)OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N(C)CCO)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1
"Control: real substituent change, flat SAR",CPD_332,CPD_345,CC(OC(=O)OC1CCCCC1)OC(=O)[*:1],CN(CCO)C(=O)[*:1],CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,7.48,7.5,0.02,-4.88,3.87,0.003087245776473647,CC(OC(=O)OC1CCCCC1)OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N(C)CCO)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1
"High-value: large, potency-specific SAR cliff",CPD_421,CPD_606,Cc1ccc(=O)n([*:1])n1,O=c1cnccn1[*:1],O=C(Nc1ccc([*:1])cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,5.0,8.71,3.71,0.11,0.0,10.305555555555555,Cc1ccc(=O)n(-c2ccc(NC(=O)c3nc4ccccc4n3Cc3cc(-c4ccc(Cl)s4)on3)cc2)n1,O=C(Nc1ccc(-n2ccncc2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1
"High-value: large, potency-specific SAR cliff",CPD_169,CPD_687,O=C(Nc1ccc(Cl)cc1)[*:1],O=C(NC[*:1])c1cccc(Cl)c1,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)O)ccc3n2C[*:1])CC1,8.4,5.0,-3.4,-0.11,0.06,9.05942780066631,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)O)ccc3n2CC(=O)Nc2ccc(Cl)cc2)CC1,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)O)ccc3n2CCNC(=O)c2cccc(Cl)c2)CC1
"High-value: large, potency-specific SAR cliff",CPD_650,CPD_754,Clc1ccc2sc([*:1])cc2c1,Clc1ccc2cc([*:1])sc2c1,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)O)cccc3n2C[*:1])CC1,6.04,8.25,2.21,0.0,0.0,8.84,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)O)cccc3n2Cc2cc3cc(Cl)ccc3s2)CC1,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)O)cccc3n2Cc2cc3ccc(Cl)cc3s2)CC1
"High-value: large, potency-specific SAR cliff",CPD_116,CPD_976,O=C(NC1CCN(c2ccncn2)CC1)[*:1],O=C(CN1CCN(C(=O)[*:1])CC1)N1CCCC1,Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,7.23,5.18,-2.05,-0.01,0.0,7.884615384615383,O=C(NC1CCN(c2ccncn2)CC1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(CN1CCN(C(=O)c2nc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1)N1CCCC1
"High-value: large, potency-specific SAR cliff",CPD_5,CPD_82,Cl[*:1],CC(C)OC(=O)[*:1],CC(C)N1CCC(NC(=O)c2c([*:1])c3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,8.61,6.09,-2.52,0.07,0.04,7.621984013265652,CC(C)N1CCC(NC(=O)c2c(Cl)c3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CC(C)OC(=O)c1c(C(=O)NC2CCN(C(C)C)CC2)n(Cc2cc(-c3ccc(Cl)s3)on2)c2ccccc12
