CPD_ID,SERIES_ID,SMILES,pKi_pred,LogD_pred,Sol_uM_pred,MPO_pred,MPO_pred_rank,MPO_truth,selection_reason,round,predicts_fold
CPD_247,Indole,CC(C)N1CCC(NC(=O)c2nc3cccnc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,7.071394397333333,1.7619759882666666,198.10058468143734,0.4,1,0.4,top_MPO,1,2
CPD_383,Indole,COCCOc1cc2cc(C(=O)NC3CCN(C(C)C)CC3)n(Cc3cc(-c4ccc(Cl)s4)on3)c2cn1,7.765530932,1.648132404,394.8345676354727,0.4,2,0.3106,top_MPO,1,2
CPD_327,Indole,CC(C)N1CCC(NC(=O)c2cc3ncccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,7.437293045333334,1.6695021920000002,323.46637286015783,0.4,3,0.3186,top_MPO,1,2
CPD_332,Indole,CC(OC(=O)OC1CCCCC1)OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,7.230818470666667,1.7315860727466665,636.825396490877,0.4,4,0.4,top_MPO+SAR_cliff,1,2
CPD_339,Piperazine,O=C(C1CCN(c2ccncc2)CC1)N1CCN(S(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1,6.570994350666666,2.468318877333333,749.5148536823712,0.4,5,0.382,top_MPO,1,2
CPD_259,Indole,CCOC(=O)COc1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,7.791535985333333,2.1443069893333333,111.73161151176414,0.4,6,0.4,top_MPO,1,2
CPD_253,Indole,O=C(Cn1c(C(=O)N2CCC(N3CCCC3=O)CC2)cc2cc(F)cc(F)c21)Nc1ccc(Cl)cn1,7.170666573333333,1.5615532493333333,128.78764169862228,0.4,7,0.2,top_MPO,1,2
CPD_280,Indoleamidine,N=C(N)c1c[nH]c2ccc(CCNC(=O)c3ccc(-n4ccnc4)cc3)cc12,6.276825613333333,1.7755992010666664,126.78992433525366,0.4,8,0.2,top_MPO,1,2
CPD_244,Indole,COC(=O)c1cnc2[nH]c(C(=O)N(Cc3cc(-c4ccc(Cl)s4)on3)C3CCN(C(C)C)CC3)cc2c1,6.730233636,2.0549011693333337,288.1376558685837,0.4,9,0.4,top_MPO,1,2
CPD_350,Indole,CC(OC(=O)OC1CCCCC1)OC(=O)c1cccc2c1nc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,7.303567721333334,1.6031464927999999,416.5523197172271,0.4,10,0.07009999999999997,top_MPO,1,2
CPD_315,Indole,CCOC(=O)OC(C)OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,7.566182036000001,1.71362178912,653.248205435837,0.4,11,0.4,top_MPO,1,2
CPD_365,Indole,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OC4CCOC4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,7.591364054666666,1.888966084,179.81301647959094,0.4,12,0.4,top_MPO,1,2
CPD_285,Pyrrolidine,COc1ccc2ccc(S(=O)(=O)N[C@H]3CCN(Cc4csc(C(=N)N)c4)C3=O)cc2c1,6.450615317333333,1.5314745325333334,272.302158535469,0.4,13,0.2,top_MPO,1,2
CPD_370,Indole,COCCOC(=O)OC(C)OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,7.4969994306666665,1.51839826576,1126.6384652546838,0.4,14,0.39249999999999996,top_MPO,1,2
CPD_371,Indole,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCC4CCOC4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,7.610751729333334,1.857747256,236.5816534229045,0.4,15,0.312,top_MPO,1,2
CPD_374,Indole,CC(C)OC(=O)OC(C)OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,7.480081505333334,1.82023621264,628.541302727307,0.4,16,0.4,top_MPO,1,2
CPD_363,Indole,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCCN4CCCC4=O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,7.613169574666666,1.6014927921333333,356.7343552342976,0.4,17,0.4,top_MPO,1,2
CPD_384,Azole12,COCCOC(=O)c1ccc2c(c1)c(C(=O)NC1CCN(C(C)C)CC1)nn2Cc1cc(-c2ccc(Cl)s2)on1,7.30901956,1.7612235906666667,146.73376281872936,0.4,18,0.3938,top_MPO,1,2
CPD_389,Indole,CC(OC(=O)OC1CCCCC1)OC(=O)c1ccc2c(c1)nc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,7.168294604,1.6723493357333334,432.1116015916232,0.4,19,0.07149999999999998,top_MPO+SAR_cliff,1,2
CPD_204,Indole,CC(C)N1CC(CNC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,6.950969489333333,2.3797399826666665,106.5286200592452,0.4,20,0.4,top_MPO,1,2
CPD_342,Indole,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N(C)CCO)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,7.839020243999999,0.8841636533333332,772.7287331132642,0.3384163653333333,47,0.20590000000000003,SAR_cliff,1,2
CPD_346,Indole,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)N(C)CCO)cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,7.830870257333333,0.8180029652013333,498.66483700576845,0.3318002965201333,50,0.3225,SAR_cliff,1,2
CPD_335,Indole,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N(CCO)CCO)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,7.727896742666668,0.5009951672,1291.0171514394976,0.30009951672,65,0.2,SAR_cliff,1,2
CPD_345,Indole,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N(C)CCO)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,7.807861112,-0.1550226677333333,8806.904223231933,0.23449773322666667,97,0.2,SAR_cliff,1,2
CPD_213,Indole,CC(OC(=O)OC1CCCCC1)OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,7.191829190666667,2.8530483946666667,52.16240767823801,0.20864963071295203,106,0.10579999999999998,SAR_cliff,1,2
CPD_381,Indole,CC(C)N1CCC(NC(=O)c2nc3cc(C(=O)N4CC(O)C4)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,7.707653017333333,-0.6695064128,6570.086085452914,0.2,152,0.2,SAR_cliff,1,2
CPD_337,Indole,CC(OC(=O)OC1CCCCC1)OC(=O)c1cccc2c1nc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,7.262171479999999,2.6899249422666665,38.81604025669453,0.2,190,0.0,SAR_cliff,1,2
